,Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
462,SRR22047544,12/31/22 0:27,10/26/22 17:12,1993177,394352136,1993177,197,247,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047544/SRR22047544.lite.1,SRX18028497,GSM6682994,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535595,SAMN31460870,simple,9606,Homo sapiens,GSM6682994,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,906B2D9EDC2A08B7DE8032F4B4975C0D,2DFE327633104F4A3E098E620D17FA58,"HCT116, live whole cell, cell 064",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, live whole cell, cell 064",GPL28038,DNBSEQ-G400
463,SRR22047543,12/31/22 0:27,10/26/22 17:19,2609141,516197177,2609141,197,327,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047543/SRR22047543.lite.1,SRX18028498,GSM6682995,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535596,SAMN31460869,simple,9606,Homo sapiens,GSM6682995,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,C37A0C73782160F1C4CEE48450E9EF06,E4B28E0BF8F94140D7963275CF5C33F8,"HCT116, live whole cell, cell 065",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, live whole cell, cell 065",GPL28038,DNBSEQ-G400
464,SRR22047542,12/31/22 0:27,10/26/22 17:17,1164639,230421010,1164639,197,146,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047542/SRR22047542.lite.1,SRX18028499,GSM6682996,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535597,SAMN31460868,simple,9606,Homo sapiens,GSM6682996,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,65EAB0F3726659FC0D4FBA6FABC9ECC0,8D56826DAE7683C0D148C8208B79D54E,"HCT116, live whole cell, cell 066",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, live whole cell, cell 066",GPL28038,DNBSEQ-G400
465,SRR22047541,12/31/22 0:27,10/26/22 17:19,3300491,653000699,3300491,197,411,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047541/SRR22047541.lite.1,SRX18028500,GSM6682997,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535598,SAMN31460867,simple,9606,Homo sapiens,GSM6682997,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,F1E8EF6FAA428EA8AA9A767E1C96831D,072CF4ED5D9A84A67EB8F6002D63F24B,"HCT116, live whole cell, cell 067",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, live whole cell, cell 067",GPL28038,DNBSEQ-G400
466,SRR22047540,12/31/22 0:27,10/26/22 17:16,1466672,290178449,1466672,197,183,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047540/SRR22047540.lite.1,SRX18028501,GSM6682998,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535599,SAMN31460866,simple,9606,Homo sapiens,GSM6682998,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,C7F98F464F18F6D9DBE36A4FB80A4464,7812C3F74C4835938259FC5642E71A01,"HCT116, live whole cell, cell 068",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, live whole cell, cell 068",GPL28038,DNBSEQ-G400
467,SRR22047539,12/31/22 0:27,10/26/22 17:17,1405166,278025055,1405166,197,175,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047539/SRR22047539.lite.1,SRX18028502,GSM6683068,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535600,SAMN31460801,simple,9606,Homo sapiens,GSM6683068,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,A25B7C491EB14DA737E6D00171746C2D,1FCF8219E70903FBD91C6F0E084AC6DD,"HCT116, extracted nuclei, cell 041",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 041",GPL28038,DNBSEQ-G400
468,SRR22047538,12/31/22 0:27,10/26/22 17:17,1735874,343454306,1735874,197,219,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047538/SRR22047538.lite.1,SRX18028503,GSM6683069,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535602,SAMN31460800,simple,9606,Homo sapiens,GSM6683069,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,7470B946A36EBB32344E67BC4D1C0EA2,A9E015779D4F1ADEB565052B1CE48656,"HCT116, extracted nuclei, cell 042",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 042",GPL28038,DNBSEQ-G400
469,SRR22047537,12/31/22 0:27,10/26/22 17:15,3394280,671545450,3394280,197,427,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047537/SRR22047537.lite.1,SRX18028504,GSM6683070,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535601,SAMN31460799,simple,9606,Homo sapiens,GSM6683070,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,2F0C8C4D92935BF658C7A88D4732F236,C17F3CCA656270CE714A9802AC6DDDB7,"HCT116, extracted nuclei, cell 043",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 043",GPL28038,DNBSEQ-G400
470,SRR22047535,12/31/22 0:27,10/26/22 17:10,283486,56081121,283486,197,34,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047535/SRR22047535.lite.1,SRX18028506,GSM6683072,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535603,SAMN31460797,simple,9606,Homo sapiens,GSM6683072,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,F96F384BE3DAD7379795212D11B04461,8E2962CC72FAEEBD7CA76A94C9107688,"HCT116, extracted nuclei, cell 045",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 045",GPL28038,DNBSEQ-G400
471,SRR22047536,12/31/22 0:27,10/26/22 17:15,2912172,576183307,2912172,197,364,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR022/22047/SRR22047536/SRR22047536.lite.1,SRX18028505,GSM6683071,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,DNBSEQ,DNBSEQ-G400,SRP339960,PRJNA768428,3,768428,SRS15535604,SAMN31460798,simple,9606,Homo sapiens,GSM6683071,,,,,,,no,,,,,"ANGELA WU LAB, LIFS, HKUST",SRA1527675,,public,B7E3CAF3D87CA5EE26393B7C039CBE62,2A2E07E85DA36395D961359110EB48B4,"HCT116, extracted nuclei, cell 044",cell line: HCT-116,other,transcriptomic,OTHER,"HCT116, extracted nuclei, cell 044",GPL28038,DNBSEQ-G400
