,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
273,SRR16195318,GSM5609582,OTHER,other,GSM5609582,HCT116 scONEseq 062,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 158,GPL18573,Illumina NextSeq 500
274,SRR16195317,GSM5609583,OTHER,other,GSM5609583,HCT116 scONEseq 063,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 159,GPL18573,Illumina NextSeq 500
275,SRR16195316,GSM5609584,OTHER,other,GSM5609584,HCT116 scONEseq 064,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 160,GPL18573,Illumina NextSeq 500
276,SRR16195315,GSM5609585,OTHER,other,GSM5609585,HCT116 scONEseq 065,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 161,GPL18573,Illumina NextSeq 500
277,SRR16195314,GSM5609586,OTHER,other,GSM5609586,HCT116 scONEseq 066,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 162,GPL18573,Illumina NextSeq 500
278,SRR16195313,GSM5609587,OTHER,other,GSM5609587,HCT116 scONEseq 067,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 163,GPL18573,Illumina NextSeq 500
279,SRR16195312,GSM5609588,OTHER,other,GSM5609588,HCT116 scONEseq 068,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 164,GPL18573,Illumina NextSeq 500
280,SRR16195311,GSM5609589,OTHER,other,GSM5609589,HCT116 scONEseq 069,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 165,GPL18573,Illumina NextSeq 500
281,SRR16195310,GSM5609590,OTHER,other,GSM5609590,HCT116 scONEseq 070,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 166,GPL18573,Illumina NextSeq 500
282,SRR16195309,GSM5609591,OTHER,other,GSM5609591,HCT116 scONEseq 071,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 167,GPL18573,Illumina NextSeq 500
283,SRR16195308,GSM5609592,OTHER,other,GSM5609592,HCT116 scONEseq 072,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 168,GPL18573,Illumina NextSeq 500
284,SRR16195307,GSM5609593,OTHER,other,GSM5609593,HCT116 scONEseq 073,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 169,GPL18573,Illumina NextSeq 500
285,SRR16195306,GSM5609594,OTHER,other,GSM5609594,HCT116 scONEseq 074,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 170,GPL18573,Illumina NextSeq 500
286,SRR16195305,GSM5609595,OTHER,other,GSM5609595,HCT116 scONEseq 075,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 171,GPL18573,Illumina NextSeq 500
287,SRR16195304,GSM5609524,OTHER,other,GSM5609524,HCT116 scONEseq 004,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 100,GPL18573,Illumina NextSeq 500
288,SRR16195303,GSM5609525,OTHER,other,GSM5609525,HCT116 scONEseq 005,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 101,GPL18573,Illumina NextSeq 500
289,SRR16195302,GSM5609526,OTHER,other,GSM5609526,HCT116 scONEseq 006,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 102,GPL18573,Illumina NextSeq 500
290,SRR16195301,GSM5609527,OTHER,other,GSM5609527,HCT116 scONEseq 007,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 103,GPL18573,Illumina NextSeq 500
291,SRR16195300,GSM5609528,OTHER,other,GSM5609528,HCT116 scONEseq 008,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 104,GPL18573,Illumina NextSeq 500
292,SRR16195299,GSM5609529,OTHER,other,GSM5609529,HCT116 scONEseq 009,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 105,GPL18573,Illumina NextSeq 500
293,SRR16195298,GSM5609530,OTHER,other,GSM5609530,HCT116 scONEseq 010,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 106,GPL18573,Illumina NextSeq 500
294,SRR16195297,GSM5609531,OTHER,other,GSM5609531,HCT116 scONEseq 011,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 107,GPL18573,Illumina NextSeq 500
295,SRR16195296,GSM5609532,OTHER,other,GSM5609532,HCT116 scONEseq 012,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 108,GPL18573,Illumina NextSeq 500
296,SRR16195295,GSM5609533,OTHER,other,GSM5609533,HCT116 scONEseq 013,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 109,GPL18573,Illumina NextSeq 500
297,SRR16195294,GSM5609534,OTHER,other,GSM5609534,HCT116 scONEseq 014,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 110,GPL18573,Illumina NextSeq 500
298,SRR16195293,GSM5609535,OTHER,other,GSM5609535,HCT116 scONEseq 015,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 111,GPL18573,Illumina NextSeq 500
299,SRR16195292,GSM5609536,OTHER,other,GSM5609536,HCT116 scONEseq 016,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 112,GPL18573,Illumina NextSeq 500
300,SRR16195291,GSM5609537,OTHER,other,GSM5609537,HCT116 scONEseq 017,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 113,GPL18573,Illumina NextSeq 500
301,SRR16195290,GSM5609538,OTHER,other,GSM5609538,HCT116 scONEseq 018,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 114,GPL18573,Illumina NextSeq 500
302,SRR16195289,GSM5609539,OTHER,other,GSM5609539,HCT116 scONEseq 019,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 115,GPL18573,Illumina NextSeq 500
303,SRR16195288,GSM5609540,OTHER,other,GSM5609540,HCT116 scONEseq 020,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 116,GPL18573,Illumina NextSeq 500
304,SRR16195287,GSM5609541,OTHER,other,GSM5609541,HCT116 scONEseq 021,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 117,GPL18573,Illumina NextSeq 500
305,SRR16195286,GSM5609542,OTHER,other,GSM5609542,HCT116 scONEseq 022,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 118,GPL18573,Illumina NextSeq 500
306,SRR16195285,GSM5609543,OTHER,other,GSM5609543,HCT116 scONEseq 023,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 119,GPL18573,Illumina NextSeq 500
307,SRR16195284,GSM5609544,OTHER,other,GSM5609544,HCT116 scONEseq 024,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 120,GPL18573,Illumina NextSeq 500
308,SRR16195283,GSM5609545,OTHER,other,GSM5609545,HCT116 scONEseq 025,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 121,GPL18573,Illumina NextSeq 500
309,SRR16195282,GSM5609546,OTHER,other,GSM5609546,HCT116 scONEseq 026,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 122,GPL18573,Illumina NextSeq 500
310,SRR16195281,GSM5609547,OTHER,other,GSM5609547,HCT116 scONEseq 027,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 123,GPL18573,Illumina NextSeq 500
311,SRR16195280,GSM5609692,OTHER,other,GSM5609692,NPC43 scONEseq 007,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 007,GPL18573,Illumina NextSeq 500
312,SRR16195279,GSM5609693,OTHER,other,GSM5609693,NPC43 scONEseq 008,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 008,GPL18573,Illumina NextSeq 500
313,SRR16195278,GSM5609694,OTHER,other,GSM5609694,NPC43 scONEseq 009,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 009,GPL18573,Illumina NextSeq 500
314,SRR16195277,GSM5609695,OTHER,other,GSM5609695,NPC43 scONEseq 010,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 010,GPL18573,Illumina NextSeq 500
315,SRR16195276,GSM5609696,OTHER,other,GSM5609696,NPC43 scONEseq 011,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 011,GPL18573,Illumina NextSeq 500
316,SRR16195275,GSM5609697,OTHER,other,GSM5609697,NPC43 scONEseq 012,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 012,GPL18573,Illumina NextSeq 500
317,SRR16195274,GSM5609698,OTHER,other,GSM5609698,NPC43 scONEseq 013,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 013,GPL18573,Illumina NextSeq 500
318,SRR16195273,GSM5609699,OTHER,other,GSM5609699,NPC43 scONEseq 014,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 014,GPL18573,Illumina NextSeq 500
319,SRR16195272,GSM5609700,OTHER,other,GSM5609700,NPC43 scONEseq 015,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 015,GPL18573,Illumina NextSeq 500
320,SRR16195271,GSM5609701,OTHER,other,GSM5609701,NPC43 scONEseq 016,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 016,GPL18573,Illumina NextSeq 500
321,SRR16195270,GSM5609702,OTHER,other,GSM5609702,NPC43 scONEseq 017,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 017,GPL18573,Illumina NextSeq 500
322,SRR16195269,GSM5609703,OTHER,other,GSM5609703,NPC43 scONEseq 018,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 018,GPL18573,Illumina NextSeq 500
323,SRR16195268,GSM5609704,OTHER,other,GSM5609704,NPC43 scONEseq 019,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 019,GPL18573,Illumina NextSeq 500
324,SRR16195267,GSM5609705,OTHER,other,GSM5609705,NPC43 scONEseq 020,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 020,GPL18573,Illumina NextSeq 500
325,SRR16195266,GSM5609706,OTHER,other,GSM5609706,NPC43 scONEseq 021,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 021,GPL18573,Illumina NextSeq 500
326,SRR16195265,GSM5609707,OTHER,other,GSM5609707,NPC43 scONEseq 022,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 022,GPL18573,Illumina NextSeq 500
327,SRR16195264,GSM5609708,OTHER,other,GSM5609708,NPC43 scONEseq 023,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 023,GPL18573,Illumina NextSeq 500
328,SRR16195263,GSM5609709,OTHER,other,GSM5609709,NPC43 scONEseq 024,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 024,GPL18573,Illumina NextSeq 500
329,SRR16195262,GSM5609710,OTHER,other,GSM5609710,NPC43 scONEseq 025,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 025,GPL18573,Illumina NextSeq 500
330,SRR16195261,GSM5609711,OTHER,other,GSM5609711,NPC43 scONEseq 026,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 026,GPL18573,Illumina NextSeq 500
331,SRR16195260,GSM5609712,OTHER,other,GSM5609712,NPC43 scONEseq 027,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 027,GPL18573,Illumina NextSeq 500
332,SRR16195259,GSM5609713,OTHER,other,GSM5609713,NPC43 scONEseq 028,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 028,GPL18573,Illumina NextSeq 500
333,SRR16195258,GSM5609714,OTHER,other,GSM5609714,NPC43 scONEseq 029,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 029,GPL18573,Illumina NextSeq 500
334,SRR16195257,GSM5609715,OTHER,other,GSM5609715,NPC43 scONEseq 030,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 030,GPL18573,Illumina NextSeq 500
335,SRR16195256,GSM5609788,OTHER,other,GSM5609788,NPC43 scONEseq 103,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 103,GPL18573,Illumina NextSeq 500
336,SRR16195255,GSM5609789,OTHER,other,GSM5609789,NPC43 scONEseq 104,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 104,GPL18573,Illumina NextSeq 500
337,SRR16195254,GSM5609790,OTHER,other,GSM5609790,NPC43 scONEseq 105,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 105,GPL18573,Illumina NextSeq 500
338,SRR16195253,GSM5609791,OTHER,other,GSM5609791,NPC43 scONEseq 106,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 106,GPL18573,Illumina NextSeq 500
339,SRR16195252,GSM5609792,OTHER,other,GSM5609792,NPC43 scONEseq 107,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 107,GPL18573,Illumina NextSeq 500
340,SRR16195251,GSM5609793,OTHER,other,GSM5609793,NPC43 scONEseq 108,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 108,GPL18573,Illumina NextSeq 500
341,SRR16195250,GSM5609794,OTHER,other,GSM5609794,NPC43 scONEseq 109,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 109,GPL18573,Illumina NextSeq 500
342,SRR16195249,GSM5609795,OTHER,other,GSM5609795,NPC43 scONEseq 110,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 110,GPL18573,Illumina NextSeq 500
343,SRR16195248,GSM5609796,OTHER,other,GSM5609796,NPC43 scONEseq 111,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 111,GPL18573,Illumina NextSeq 500
344,SRR16195247,GSM5609797,OTHER,other,GSM5609797,NPC43 scONEseq 112,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 112,GPL18573,Illumina NextSeq 500
345,SRR16195246,GSM5609798,OTHER,other,GSM5609798,NPC43 scONEseq 113,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 113,GPL18573,Illumina NextSeq 500
346,SRR16195245,GSM5609799,OTHER,other,GSM5609799,NPC43 scONEseq 114,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 114,GPL18573,Illumina NextSeq 500
347,SRR16195244,GSM5609800,OTHER,other,GSM5609800,NPC43 scONEseq 115,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 115,GPL18573,Illumina NextSeq 500
348,SRR16195243,GSM5609801,OTHER,other,GSM5609801,NPC43 scONEseq 116,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 116,GPL18573,Illumina NextSeq 500
349,SRR16195242,GSM5609802,OTHER,other,GSM5609802,NPC43 scONEseq 117,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 117,GPL18573,Illumina NextSeq 500
350,SRR16195241,GSM5609803,OTHER,other,GSM5609803,NPC43 scONEseq 118,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 118,GPL18573,Illumina NextSeq 500
351,SRR16195240,GSM5609804,OTHER,other,GSM5609804,NPC43 scONEseq 119,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 119,GPL18573,Illumina NextSeq 500
352,SRR16195239,GSM5609805,OTHER,other,GSM5609805,NPC43 scONEseq 120,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 120,GPL18573,Illumina NextSeq 500
353,SRR16195238,GSM5609806,OTHER,other,GSM5609806,NPC43 scONEseq 121,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 121,GPL18573,Illumina NextSeq 500
354,SRR16195237,GSM5609807,OTHER,other,GSM5609807,NPC43 scONEseq 122,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 122,GPL18573,Illumina NextSeq 500
355,SRR16195232,GSM5609452,RNA-Seq,cDNA,GSM5609452,Smart-HCT-28,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 028,GPL18573,Illumina NextSeq 500
356,SRR16195236,GSM5609808,OTHER,other,GSM5609808,NPC43 scONEseq 123,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 123,GPL18573,Illumina NextSeq 500
357,SRR16195235,GSM5609809,OTHER,other,GSM5609809,NPC43 scONEseq 124,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 124,GPL18573,Illumina NextSeq 500
358,SRR16195234,GSM5609810,OTHER,other,GSM5609810,NPC43 scONEseq 125,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 125,GPL18573,Illumina NextSeq 500
359,SRR16195233,GSM5609811,OTHER,other,GSM5609811,NPC43 scONEseq 126,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 126,GPL18573,Illumina NextSeq 500
360,SRR16195231,GSM5609453,RNA-Seq,cDNA,GSM5609453,Smart-HCT-29,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 029,GPL18573,Illumina NextSeq 500
361,SRR16195230,GSM5609454,RNA-Seq,cDNA,GSM5609454,Smart-HCT-30,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 030,GPL18573,Illumina NextSeq 500
362,SRR16195229,GSM5609455,RNA-Seq,cDNA,GSM5609455,Smart-HCT-31,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 031,GPL18573,Illumina NextSeq 500
363,SRR16195228,GSM5609456,RNA-Seq,cDNA,GSM5609456,Smart-HCT-32,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 032,GPL18573,Illumina NextSeq 500
364,SRR16195227,GSM5609457,RNA-Seq,cDNA,GSM5609457,Smart-HCT-33,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 033,GPL18573,Illumina NextSeq 500
365,SRR16195226,GSM5609458,RNA-Seq,cDNA,GSM5609458,Smart-HCT-34,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 034,GPL18573,Illumina NextSeq 500
366,SRR16195225,GSM5609459,RNA-Seq,cDNA,GSM5609459,Smart-HCT-35,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 035,GPL18573,Illumina NextSeq 500
367,SRR16195224,GSM5609460,RNA-Seq,cDNA,GSM5609460,Smart-HCT-36,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 036,GPL18573,Illumina NextSeq 500
368,SRR16195223,GSM5609461,RNA-Seq,cDNA,GSM5609461,Smart-HCT-37,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 037,GPL18573,Illumina NextSeq 500
369,SRR16195222,GSM5609462,RNA-Seq,cDNA,GSM5609462,Smart-HCT-38,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 038,GPL18573,Illumina NextSeq 500
370,SRR16195221,GSM5609463,RNA-Seq,cDNA,GSM5609463,Smart-HCT-39,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 039,GPL18573,Illumina NextSeq 500
371,SRR16195220,GSM5609464,RNA-Seq,cDNA,GSM5609464,Smart-HCT-40,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 040,GPL18573,Illumina NextSeq 500
372,SRR16195219,GSM5609465,RNA-Seq,cDNA,GSM5609465,Smart-HCT-41,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 041,GPL18573,Illumina NextSeq 500
373,SRR16195217,GSM5609467,RNA-Seq,cDNA,GSM5609467,Smart-HCT-43,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 043,GPL18573,Illumina NextSeq 500
374,SRR16195218,GSM5609466,RNA-Seq,cDNA,GSM5609466,Smart-HCT-42,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 042,GPL18573,Illumina NextSeq 500
375,SRR16195216,GSM5609468,RNA-Seq,cDNA,GSM5609468,Smart-HCT-44,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 044,GPL18573,Illumina NextSeq 500
376,SRR16195215,GSM5609469,RNA-Seq,cDNA,GSM5609469,Smart-HCT-45,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 045,GPL18573,Illumina NextSeq 500
377,SRR16195214,GSM5609470,RNA-Seq,cDNA,GSM5609470,Smart-HCT-46,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 046,GPL18573,Illumina NextSeq 500
378,SRR16195213,GSM5609471,RNA-Seq,cDNA,GSM5609471,Smart-HCT-47,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 047,GPL18573,Illumina NextSeq 500
379,SRR16195212,GSM5609472,RNA-Seq,cDNA,GSM5609472,Smart-HCT-48,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 048,GPL18573,Illumina NextSeq 500
380,SRR16195211,GSM5609473,RNA-Seq,cDNA,GSM5609473,Smart-HCT-49,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 049,GPL18573,Illumina NextSeq 500
381,SRR16195210,GSM5609474,RNA-Seq,cDNA,GSM5609474,Smart-HCT-50,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 050,GPL18573,Illumina NextSeq 500
382,SRR16195209,GSM5609475,RNA-Seq,cDNA,GSM5609475,Smart-HCT-51,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 051,GPL18573,Illumina NextSeq 500
383,SRR16195208,GSM5609548,OTHER,other,GSM5609548,HCT116 scONEseq 028,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 124,GPL18573,Illumina NextSeq 500
384,SRR16195207,GSM5609549,OTHER,other,GSM5609549,HCT116 scONEseq 029,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 125,GPL18573,Illumina NextSeq 500
385,SRR16195206,GSM5609550,OTHER,other,GSM5609550,HCT116 scONEseq 030,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 126,GPL18573,Illumina NextSeq 500
386,SRR16195205,GSM5609551,OTHER,other,GSM5609551,HCT116 scONEseq 031,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 127,GPL18573,Illumina NextSeq 500
387,SRR16195204,GSM5609552,OTHER,other,GSM5609552,HCT116 scONEseq 032,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 128,GPL18573,Illumina NextSeq 500
388,SRR16195203,GSM5609553,OTHER,other,GSM5609553,HCT116 scONEseq 033,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 129,GPL18573,Illumina NextSeq 500
389,SRR16195202,GSM5609554,OTHER,other,GSM5609554,HCT116 scONEseq 034,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 130,GPL18573,Illumina NextSeq 500
390,SRR16195201,GSM5609555,OTHER,other,GSM5609555,HCT116 scONEseq 035,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 131,GPL18573,Illumina NextSeq 500
391,SRR16195200,GSM5609556,OTHER,other,GSM5609556,HCT116 scONEseq 036,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 132,GPL18573,Illumina NextSeq 500
392,SRR16195199,GSM5609557,OTHER,other,GSM5609557,HCT116 scONEseq 037,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 133,GPL18573,Illumina NextSeq 500
393,SRR16195198,GSM5609558,OTHER,other,GSM5609558,HCT116 scONEseq 038,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 134,GPL18573,Illumina NextSeq 500
394,SRR16195197,GSM5609559,OTHER,other,GSM5609559,HCT116 scONEseq 039,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 135,GPL18573,Illumina NextSeq 500
395,SRR16195196,GSM5609560,OTHER,other,GSM5609560,HCT116 scONEseq 040,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 136,GPL18573,Illumina NextSeq 500
396,SRR16195195,GSM5609561,OTHER,other,GSM5609561,HCT116 scONEseq 041,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 137,GPL18573,Illumina NextSeq 500
397,SRR16195194,GSM5609562,OTHER,other,GSM5609562,HCT116 scONEseq 042,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 138,GPL18573,Illumina NextSeq 500
398,SRR16195193,GSM5609563,OTHER,other,GSM5609563,HCT116 scONEseq 043,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 139,GPL18573,Illumina NextSeq 500
399,SRR16195192,GSM5609564,OTHER,other,GSM5609564,HCT116 scONEseq 044,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 140,GPL18573,Illumina NextSeq 500
400,SRR16195191,GSM5609565,OTHER,other,GSM5609565,HCT116 scONEseq 045,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 141,GPL18573,Illumina NextSeq 500
401,SRR16195190,GSM5609566,OTHER,other,GSM5609566,HCT116 scONEseq 046,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 142,GPL18573,Illumina NextSeq 500
402,SRR16195189,GSM5609567,OTHER,other,GSM5609567,HCT116 scONEseq 047,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 143,GPL18573,Illumina NextSeq 500
403,SRR16195188,GSM5609568,OTHER,other,GSM5609568,HCT116 scONEseq 048,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 144,GPL18573,Illumina NextSeq 500
404,SRR16195187,GSM5609569,OTHER,other,GSM5609569,HCT116 scONEseq 049,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 145,GPL18573,Illumina NextSeq 500
405,SRR16195186,GSM5609570,OTHER,other,GSM5609570,HCT116 scONEseq 050,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 146,GPL18573,Illumina NextSeq 500
406,SRR16195185,GSM5609571,OTHER,other,GSM5609571,HCT116 scONEseq 051,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 147,GPL18573,Illumina NextSeq 500
407,SRR16195184,GSM5609596,OTHER,other,GSM5609596,HCT116 scONEseq 076,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 172,GPL18573,Illumina NextSeq 500
408,SRR16195183,GSM5609597,OTHER,other,GSM5609597,HCT116 scONEseq 077,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 173,GPL18573,Illumina NextSeq 500
409,SRR16195182,GSM5609598,OTHER,other,GSM5609598,HCT116 scONEseq 078,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 174,GPL18573,Illumina NextSeq 500
410,SRR16195180,GSM5609600,OTHER,other,GSM5609600,HCT116 scONEseq 080,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 176,GPL18573,Illumina NextSeq 500
411,SRR16195181,GSM5609599,OTHER,other,GSM5609599,HCT116 scONEseq 079,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 175,GPL18573,Illumina NextSeq 500
412,SRR16195179,GSM5609601,OTHER,other,GSM5609601,HCT116 scONEseq 081,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 177,GPL18573,Illumina NextSeq 500
413,SRR16195178,GSM5609602,OTHER,other,GSM5609602,HCT116 scONEseq 082,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 178,GPL18573,Illumina NextSeq 500
414,SRR16195177,GSM5609603,OTHER,other,GSM5609603,HCT116 scONEseq 083,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 179,GPL18573,Illumina NextSeq 500
415,SRR16195176,GSM5609604,OTHER,other,GSM5609604,HCT116 scONEseq 084,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 180,GPL18573,Illumina NextSeq 500
416,SRR16195175,GSM5609605,OTHER,other,GSM5609605,HCT116 scONEseq 085,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 181,GPL18573,Illumina NextSeq 500
417,SRR16195174,GSM5609606,OTHER,other,GSM5609606,HCT116 scONEseq 086,HCT116 cell line,other,transcriptomic,OTHER,HCT116 single cell 182,GPL18573,Illumina NextSeq 500
