,Run,LibraryName,LibraryStrategy,LibrarySelection,SampleName,Sample_title,Sample_cell_line,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_cell_description,Sample_platform_id,Sample_instrument_model
42,SRR16195118,GSM5609731,OTHER,other,GSM5609731,NPC43 scONEseq 046,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 046,GPL18573,Illumina NextSeq 500
43,SRR16195117,GSM5609732,OTHER,other,GSM5609732,NPC43 scONEseq 047,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 047,GPL18573,Illumina NextSeq 500
44,SRR16195116,GSM5609733,OTHER,other,GSM5609733,NPC43 scONEseq 048,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 048,GPL18573,Illumina NextSeq 500
45,SRR16195115,GSM5609734,OTHER,other,GSM5609734,NPC43 scONEseq 049,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 049,GPL18573,Illumina NextSeq 500
46,SRR16195114,GSM5609735,OTHER,other,GSM5609735,NPC43 scONEseq 050,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 050,GPL18573,Illumina NextSeq 500
47,SRR16195113,GSM5609736,OTHER,other,GSM5609736,NPC43 scONEseq 051,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 051,GPL18573,Illumina NextSeq 500
48,SRR16195112,GSM5609737,OTHER,other,GSM5609737,NPC43 scONEseq 052,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 052,GPL18573,Illumina NextSeq 500
49,SRR16195111,GSM5609738,OTHER,other,GSM5609738,NPC43 scONEseq 053,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 053,GPL18573,Illumina NextSeq 500
50,SRR16195110,GSM5609739,OTHER,other,GSM5609739,NPC43 scONEseq 054,NPC43 cell line,other,transcriptomic,OTHER,NPC single cell 054,GPL18573,Illumina NextSeq 500
51,SRR16195109,GSM5609428,RNA-Seq,cDNA,GSM5609428,Smart-HCT-04,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 004,GPL18573,Illumina NextSeq 500
52,SRR16195108,GSM5609429,RNA-Seq,cDNA,GSM5609429,Smart-HCT-05,HCT116 cell line,cDNA,transcriptomic,RNA-Seq,HCT116 single cell 005,GPL18573,Illumina NextSeq 500
